product_name;generic_name;quantity;packaging_tags;brands;categories_tags;origins;manufacturing_places;labels_tags;purchase_places;stores;countries_fr;ingredients_text;traces_tags;additives_tags;pnns_groups_1;main_category_fr
Farine de blé noir;;1kg;;Ferme t'y R'nao;;;;;;;France;pasteurized free range egg.sugar.blueberries (15%).rapeseed oil.potato starch.water.cornflour.thickener.e1422.palm oil.dried whey (milk).raising agent.e450, sodium bicarbonate. emulsifier. e481, e472e, e472b, e475.flavoring.dried glucose syrup.dried skimmed milk.stabiliser. xanthan gum.salt;;;;
Filet de bœuf;;2.46 kg;plastique;;fr:filet-de-boeuf;;;;;;France;milk chocolate (32%) (sugar, cocoa butter, dried whole milk, cocoa mass, dried whey (milk), dried skimmed milk, emulsifier: soya lecithin), dark chocolate (17%) (sugar, cocoa mass, cocoa butter, butter oil (milk), emulsifier: soya lecithin, vanilla flavouring), wheatflour contains gluten (with wheatflour, calcium carbonate, iron, niacin, thiamin), white chocolate (13%) (sugar, cocoa butter, dried skimmed milk, butter oil (milk), dried whole milk, emulsifier: soya lecithin, vanilla flavouring), sugar, palm oil, butter (milk), palm kernel oil, palm fat, cocoa powder, partially inverted sugar syrup, glucose syrup, cornflour, dried skimmed milk, dried whole milk, oatmeal (contains gluten), salt, ginger, raising agent: sodium bicarbonate, e450, e503, dextrose, cocoa mass, emulsifier: soya lecithin, ground ginger, pasteurised free range egg, flavourings, orange peel, molasses, lemon peel, colour: carotenes, acidity regulator: citric acid;;;unknown;Filet-de-bœuf
Marks % Spencer 2 Blueberry Muffins;;230g;;;;;;;;;Royaume-Uni;"carbonated  water, acid: citric acid""; flavourings, acidity regular: trisodium citrate; sweetener: sucralose;"" preservative: potassium sorbate";en:eggs,en:milk;en:e1422,en:e450,en:e481,en:e472e,en:e472b,en:e475;;
Lion Peanut x2;;;;;;;;;;;France;INGREDIENTS : LAITUE. VINAIGRETTE (HUILE DE CANOLA. EAU. AIL. JAUNE D'OEUF CONGELE. FROMAGE PARMESAN. JUS DE CITRON CONCENTRE. SEL. PATE D'ANCHOIS. ASSAISONNEMENTS. GOMME XANTHANE). FROMAGE PARMESAN. CROUTONS (FARINE. FARINE DE BLE ENTIER. HUILE DE PALME. EAU. GLUCOSE—FRUCTOSE. FARINE DE SEIGLE. SEL. GLUTEN DE BLE. CARAMEL. MELASSE OUALITE FANTAISIE. POUDRE DE LACTOSERUM. MALTODEXTRINE. CARVI. LEVURE. VINAIGRE. SUCRE. POUDRE D'AIL. LEVAIN DE SEIGLE.  PERSIL. ACIDE ASCORBIQUE. PHOSPHATE MONOCALCIQUE. SULFATE D'AMMONIUM. SULFATE DE CALCIUM). CITRON. ;;;;
Twix x2;;;;;;;;;Roissy,France;;France;Ingrédients: Pâte (farine, eau, beurre, sucre, cassonade, levure, lactosérum en poudre, oeufs entiers liquides, sel, farine de gluten, huile de Soya, esters tartriques des mono et disglycérides acetyles, carbonate de calcium, acide ascorbique, amylase, arôme artificiel). GARNITURE : (sucre, substances laitières modifiées, farine, épices, farine de Pomme de terre modifiée, amidon de maïs modifié, huile végétale, poudre d'œuf, cacao, poudre à pâte, sel,  dextrose, arginate de sodium, sorbate de calcium, sorbitol, sirop de maïs, sel, pectine, sorbate de potassium, gomme de caroube, chlorure decalcium, mono et diglycérides, acide citrique, agar, colorant).;;;unknown;
Pack de 2 Twix;;;;;;;;;Roissy,France;;France;sugar, glucose syrup, modified potato starch, glucose-fructose syrup, acid: malic acid, citric acid, lactic acid, flavourings, acidity regulator: calcium carbonate - fruit, vegetable and plant concentrates (safflower, apple, lemon, pumpkin, carrot, red grape, blackcurrant), elderberry juice from concentrate, invert sugar syrup, spirulina concentrate;;;unknown;
Danoises à la cannelle roulées;Laitue en salade;0.980 kg;frais;Kirkland Signature;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fresh-foods,en:fruits-and-vegetables-based-foods,en:fresh-plant-based-foods,en:vegetables-based-foods,en:fresh-vegetables,en:leaf-vegetables;Québec;Brossard Québec;;;Costco;Canada;Ingrédients : Pâte (farine, margarines d'huile de palme et de canola, eau, sucre, sel, L-cystéine, essences). Garniture: (Pommes, eau, sucre, glucose-fructose, amidon de maïs modifié, acide citrique, cannelle, sel, chlorure de calcium, benzoate de sodium, sorbate de potassium, sulfites), sucre.;fr:contient-oeuf-lait-anchois-soya-ble-seigle-orge-moutarde-peut-contenir-autres-poissons-mollusoues-crustaces-noix-variees-sesame;;Fruits and vegetables;Légumes frais
Flute;;170g;;;;;;;;;Royaume-Uni;Sucre, farine de _Blé_, graisse et huiles végétales (karité, colza et tournesol), cacao maigre en poudre 7%, sirop de glucose, dextrine, _Beurre_ concentré, _Oeufs_, pâte de _Noisette_, pâte de cacao, émulsifiants : lécithines (colza et tournesol), sel, poudre à lever : carbonates d'ammonium, arômes.;;en:e296,en:e330,en:e270,en:e170;;
still Scottish water;Flute;;paper,plastic-film;Waitrose;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads;France;United Kingdom;;Brent,UK;Waitrose;Royaume-Uni;Thé noir de Chine, zestes d'oranges 7,5 %, arômes naturels (cannelle 4,7 %, orange 4,7 %, poudre de cannelle 3,9 %).;;;Cereals and potatoes;Pains
Fairtrade Ground Cinnamon;;;;;;;;;;;Royaume-Uni;Sirop saveur pistache 5 cl : sirop 99,16 % (sucre cristallisé, eau), arôme, acidifiant : acide citrique E330, denrée alimentaire colorante (concentrés de carthame, pomme), colorant : mélange d'additifs : E171, E211, E131. Sirop saveur framboise 5 cl : sirop 93,98 % (sucre, eau), denrée alimentaire colorante (concentrés de patate douce, cerise, pomme, radis, carthame), arôme naturel, acidifiant : acide citrique E330, colorant : mélange d'additifs : E171, E211. Sirop saveur citron 5 cl : sirop 98,86 % (sucre cristallisé, eau), arôme naturel, acidifiant : acide citrique E330, denrée alimentaire colorante (concentré de pomme, carthame), colorant : mélange d'additifs : E171, E211. Sirop saveur violette 4 cl : sirop 88,40 % (sucre, eau), arôme, acidifiant : acide citrique E330, denrée alimentaire colorante (concentré de cassis, carotte, pomme), colorant : mélange d'additifs : E131, E211, E171.;;;;
Biscuits sablés fourrage au cacao;;1 kg ;sachet-plastique;Bertrand Lejeune;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:legumes-and-their-products,en:legumes,en:seeds,en:legume-seeds,en:pulses,en:lentils,en:green-lentils;;;en:organic,en:eu-organic,fr:ab-agriculture-biologique;;;France;Demerara Sugar, Sultanas (14%), Raisins (9.4%), Bread Rusk [Fortified Wheat Flour (_Wheat Flour_, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)], Salt, Yeast), Cider, Currants (7.7%), Sherry (4.9%), Palm Oil, Cognac (4.1%), Glacé Cherries (4.1%) [Cherries, Glucose-Fructose Syrup, Colour (Anthocyanins), Acidity Regulator (Citric Acid)], Single Cream (from _Milk_), _Walnuts_ (2.6%), _Almonds_ (_Nut_) (2.3%), Fortified Wheat Flour (_Wheat Flour_, Calcium Carbonate, Iron, Niacin (B3), Thramin (B1)]. Brandy (1.5%), Rum (1.5%), Treacle, Candied Citrus Peel [Glucose Syrup, Orange Peel, Sugar, Lemon Peel, Acidity Regulator (Citric Acid)], _Barley_ Malt Extract, Mixed Spice [Coriander, Cinnamon, Cloves, Fennel, Ginger, Nutmeg, Cardamom], Salt, Lemon Oil, Orange Oil;;;Cereals and potatoes;Aliments et boissons à base de végétaux
